date,open,high,low,close,adjustedClose,volume,amount
2016-12-09,3464.87,3507.93,3461.76,3493.7,3493.7,150303308,152674867707
2016-12-12,3489.27,3495.8,3400.79,3409.18,3409.18,187467751,199163540831
2016-12-13,3394.21,3416.21,3370.6,3405.04,3405.04,121105097,124454188749
2016-12-14,3399.41,3412.28,3378.27,3378.95,3378.95,124007744,126182669414
2016-12-15,3363.86,3378.04,3327.14,3340.43,3340.43,114960660,121507811540
2016-12-16,3335.36,3356.29,3330.49,3346.03,3346.03,90775422,98112206845
2016-12-19,3342.34,3344.86,3325,3328.98,3328.98,81640678,86095693838
2016-12-20,3328.3,3329.1,3289.27,3309.06,3309.06,87569592,88527345889
2016-12-21,3313.75,3342.48,3313.75,3338.54,3338.54,108254995,106205485213
2016-12-22,3335.12,3340.36,3322.72,3335.67,3335.67,92277249,92564877570
2016-12-23,3333.4,3334.89,3300.88,3307.6,3307.6,97444713,99575473231
2016-12-26,3293.22,3322.42,3267.05,3322.4,3322.4,89793982,95493219936
2016-12-27,3319.21,3330.23,3315.83,3316.39,3316.39,75486359,79617133030
2016-12-28,3315.75,3320.55,3293.17,3301.89,3301.89,69000437,71759839566
2016-12-29,3297.04,3312.11,3288.1,3297.76,3297.76,70087923,75972960431
2016-12-30,3302.6,3313.55,3295.75,3310.08,3310.08,71744116,76921368838
2017-01-03,3313.95,3345.26,3313.95,3342.23,3342.23,86567896,87612765768
2017-01-04,3340.56,3369.57,3338.15,3368.31,3368.31,90050827,98014355468
2017-01-05,3368.34,3373.41,3361.46,3367.79,3367.79,88336357,91189339582
2017-01-06,3366.85,3368.87,3346.89,3347.67,3347.67,87459114,91072256748
2017-01-09,3345.75,3366.22,3344.35,3363.9,3363.9,83707942,87916115243
2017-01-10,3361.64,3370.51,3354.09,3358.27,3358.27,83819160,82533965080
2017-01-11,3355.8,3366.63,3334.3,3334.5,3334.5,91071438,86750457122
2017-01-12,3332.69,3343.13,3315.96,3317.62,3317.62,81239135,75031886874
2017-01-13,3317.96,3338.17,3309.37,3319.91,3319.91,84180589,84556101403
2017-01-16,3314.15,3322.78,3264.21,3319.45,3319.45,157779135,153262520121
2017-01-17,3305.6,3327.38,3292.2,3326.36,3326.36,69453328,74754505696
2017-01-18,3323.34,3350.96,3320.41,3339.37,3339.37,70623227,75680677264
2017-01-19,3330.95,3346.5,3324.68,3329.29,3329.29,66159808,63869709163
2017-01-20,3326.98,3358.41,3326.37,3354.89,3354.89,65300462,70831324310
2017-01-23,3359.05,3378.74,3355.85,3364.08,3364.08,75557498,76492660154
2017-01-24,3363.14,3371.32,3355.9,3364.45,3364.45,66194226,66049651289
2017-01-25,3361.66,3376.44,3357.22,3375.9,3375.9,58376931,62483395802
2017-01-26,3378.26,3395.88,3378.26,3387.96,3387.96,65316647,66488818305
2017-02-03,3390.93,3392.48,3362.57,3364.49,3364.49,55188861,57113853255
2017-02-06,3368.11,3381.33,3358.75,3373.21,3373.21,68521360,73408134768
